epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,505.822,0.71454,0.47828,0.9586,0.91813,0.90614,0.94903,0.7616,0.74414,0.48614,0.93916,0.000821206,0.000821206,0.000821206
43,516.779,0.70932,0.46714,0.94959,0.92963,0.90624,0.94744,0.76969,0.734,0.46866,0.94076,0.000800577,0.000800577,0.000800577
44,528.35,0.72443,0.48823,0.95594,0.94948,0.89857,0.95306,0.76976,0.73016,0.46657,0.94185,0.000779948,0.000779948,0.000779948
45,540.839,0.72005,0.47057,0.95748,0.93656,0.91224,0.95259,0.77382,0.74742,0.45389,0.94488,0.000759318,0.000759318,0.000759318
46,553.268,0.69039,0.4494,0.94191,0.9415,0.91199,0.95497,0.77824,0.72287,0.44078,0.9251,0.000738689,0.000738689,0.000738689
47,564.46,0.68549,0.44415,0.94763,0.94138,0.91455,0.94974,0.77227,0.72576,0.44795,0.93857,0.00071806,0.00071806,0.00071806
48,575.746,0.68957,0.44958,0.94296,0.93731,0.90422,0.94582,0.76865,0.74566,0.48696,0.94797,0.000697431,0.000697431,0.000697431
49,587.987,0.69391,0.45147,0.94179,0.93735,0.91625,0.95403,0.78023,0.72052,0.44243,0.9293,0.000676802,0.000676802,0.000676802
50,599.565,0.66738,0.43504,0.93669,0.948,0.90413,0.95252,0.76541,0.76302,0.45207,0.93836,0.000656173,0.000656173,0.000656173
51,610.95,0.68749,0.44243,0.94263,0.94569,0.91444,0.95438,0.76523,0.76485,0.44884,0.93859,0.000635544,0.000635544,0.000635544
52,622.34,0.68986,0.4438,0.9418,0.93728,0.92056,0.953,0.7659,0.73266,0.43813,0.92842,0.000614915,0.000614915,0.000614915
53,634.664,0.68057,0.43828,0.94247,0.93176,0.92328,0.953,0.77719,0.71668,0.42325,0.9222,0.000594286,0.000594286,0.000594286
54,646.938,0.68625,0.4344,0.93508,0.94474,0.91263,0.95338,0.78039,0.72217,0.43038,0.91714,0.000573656,0.000573656,0.000573656
55,658.124,0.69585,0.43725,0.93529,0.93228,0.91012,0.95073,0.765,0.76669,0.45685,0.94019,0.000553027,0.000553027,0.000553027
56,668.777,0.65915,0.42212,0.93549,0.93893,0.92625,0.95491,0.77895,0.72163,0.43736,0.92973,0.000532398,0.000532398,0.000532398
57,680.634,0.67048,0.4228,0.94342,0.96245,0.91391,0.95537,0.77998,0.71326,0.42563,0.91906,0.000511769,0.000511769,0.000511769
58,692.544,0.65943,0.41274,0.92899,0.9502,0.91366,0.95211,0.77889,0.70954,0.42832,0.91199,0.00049114,0.00049114,0.00049114
59,704.032,0.65562,0.41188,0.93096,0.9654,0.91098,0.95787,0.77956,0.71792,0.42396,0.91492,0.000470511,0.000470511,0.000470511
60,714.78,0.64586,0.40914,0.93003,0.94481,0.92075,0.95633,0.78737,0.71385,0.42501,0.91592,0.000449882,0.000449882,0.000449882
61,727.176,0.64673,0.40618,0.92126,0.94786,0.91405,0.95525,0.78701,0.70129,0.42501,0.90495,0.000429253,0.000429253,0.000429253
62,738.994,0.65207,0.41066,0.92465,0.94079,0.90875,0.95021,0.77623,0.73222,0.43433,0.92648,0.000408623,0.000408623,0.000408623
63,750.426,0.64688,0.40605,0.92891,0.95021,0.91837,0.95295,0.78122,0.71959,0.41975,0.92293,0.000387994,0.000387994,0.000387994
64,761.373,0.64046,0.39855,0.92463,0.9536,0.91523,0.95388,0.78599,0.70953,0.42325,0.91287,0.000367365,0.000367365,0.000367365
65,773.531,0.6288,0.3945,0.91708,0.943,0.91736,0.95433,0.78224,0.72294,0.41701,0.92214,0.000346736,0.000346736,0.000346736
